question_id,survey_id,question_content
101,1,'<p>Are you enjoying your apprenticeship?</p>'
102,1,'<p>How satisfied are you with the support provided by your employer?</p>'
103,2,'<p>How challenging is the content of your apprenticeship programme?</p>'
104,2,'<p>Do you feel adequately prepared for your assessments?</p>'
105,3,'<p>Has your salary increased since starting your apprenticeship?</p>'
106,3,'<p>What impact has your apprenticeship had on your day-to-day activities at work?</p>'
107,4,'<p>How likely are you to recommend an apprenticeship with us?</p>'
108,4,'<p>What is the primary reason for your recommendation score?</p>'
109,5,'<p>Has the apprenticeship positively affected your work-life balance?</p>'
110,5,'<p>To what extent did the apprenticeship contribute to your personal development?</p>'
111,6,'<p>How well did the apprenticeship enhance your technical skills?</p>'
112,6,'<p>Rate the effectiveness of the technical training sessions.</p>'
113,7,'<p>How satisfied are you with the collaboration within your team during the apprenticeship?</p>'
114,7,'<p>Did you find team projects beneficial to your learning experience?</p>'
115,8,'<p>How aligned is your current job role with the skills learned in the apprenticeship?</p>'
116,8,'<p>What additional skills do you wish were covered in the apprenticeship?</p>'
117,9,'<p>Rate the effectiveness of your mentor in guiding you through the apprenticeship.</p>'
118,9,'<p>What improvements would you suggest for the mentorship program?</p>'
119,10,'<p>In what ways has the apprenticeship contributed to your professional growth?</p>'
120,10,'<p>Would you recommend this apprenticeship for professional development?</p>'
121,1,'<p>How satisfied are you with the overall structure of the apprenticeship program?</p>'
122,2,'<p>Do you think the assessments accurately reflect the learning objectives?</p>'
123,3,'<p>How has the apprenticeship influenced your career goals?</p>'
124,4,'<p>What training resources would you like to see added to the program?</p>'
125,5,'<p>To what extent do you feel the apprenticeship has improved your work-life balance?</p>'
126,6,'<p>Rate the relevance of the technical skills acquired during the apprenticeship.</p>'
127,7,'<p>Did collaborative projects enhance your understanding of the course material?</p>'
128,8,'<p>Do you believe the apprenticeship has increased your job-related skills?</p>'
129,9,'<p>How often did you meet with your mentor throughout the apprenticeship?</p>'
130,10,'<p>What specific aspects of the apprenticeship contributed to your professional growth?</p>'
131,1,<p>To what extent do you agree with the following: my apprenticeship feels like a worthwhile investment of my time.</p>'
